Python path: /home/lekia.p/miniforge3/envs/pynta_env/bin/python
Conda environment: pynta_fairchem
ASE version: 3.22.1
2025-07-12 14:00:22,251 INFO Hostname/IP lookup (this will take a few seconds)
2025-07-12 14:00:22,251 INFO Launching Rocket
✅ Patched scipy.linalg.lapack.dsyevr
2025-07-12 14:00:26,134 INFO RUNNING fw_id: 79 in directory: /projects/westgroup/lekia.p/pynta/Fe/block_2025-07-12-17-50-43-929229/launcher_2025-07-12-17-59-37-820072
2025-07-12 14:00:26,154 INFO Task started: {{pynta.tasks.MolecularOptimizationTask}}.
       Step     Time          Energy         fmax
MDMin:    0 14:01:56     -191.371837        4.0618
MDMin:    1 14:01:59     -191.411631        3.6635
MDMin:    2 14:02:02     -191.506331        2.6208
MDMin:    3 14:02:05     -191.607346        1.7234
MDMin:    4 14:02:07     -191.691713        1.1347
MDMin:    5 14:02:10     -191.765711        0.8794
MDMin:    6 14:02:12     -191.837695        0.8860
MDMin:    7 14:02:15     -191.912744        0.9658
MDMin:    8 14:02:17     -191.993471        1.0523
MDMin:    9 14:02:20     -192.081573        1.1213
MDMin:   10 14:02:23     -192.177243        1.1712
MDMin:   11 14:02:25     -192.277129        1.1323
MDMin:   12 14:02:28     -192.371648        1.0773
MDMin:   13 14:02:30     -192.444327        0.8726
MDMin:   14 14:02:33     -192.492958        0.8472
MDMin:   15 14:02:36     -192.531049        0.7244
MDMin:   16 14:02:38     -192.569721        0.6458
MDMin:   17 14:02:41     -192.610675        0.5319
MDMin:   18 14:02:43     -192.653736        0.5061
MDMin:   19 14:02:46     -192.698606        0.5241
MDMin:   20 14:02:49     -192.744532        0.5421
MDMin:   21 14:02:52     -192.789099        0.5577
MDMin:   22 14:02:56     -192.827037        0.6181
MDMin:   23 14:02:59     -192.855302        0.5795
MDMin:   24 14:03:02     -192.878830        0.5872
MDMin:   25 14:03:05     -192.903695        0.5943
MDMin:   26 14:03:08     -192.931949        0.6022
MDMin:   27 14:03:11     -192.963984        0.6100
MDMin:   28 14:03:14     -193.000013        0.6178
MDMin:   29 14:03:17     -193.040207        0.6246
MDMin:   30 14:03:20     -193.084625        0.6304
MDMin:   31 14:03:23     -193.133046        0.6465
MDMin:   32 14:03:27     -193.184352        0.6653
MDMin:   33 14:03:30     -193.234992        0.6791
MDMin:   34 14:03:33     -193.278440        0.6845
MDMin:   35 14:03:36     -193.311356        0.6876
MDMin:   36 14:03:39     -193.339383        0.6869
MDMin:   37 14:03:42     -193.368776        0.6852
MDMin:   38 14:03:45     -193.401454        0.6803
MDMin:   39 14:03:48     -193.437494        0.6721
MDMin:   40 14:03:51     -193.476561        0.6593
MDMin:   41 14:03:54     -193.518054        0.6419
MDMin:   42 14:03:57     -193.560855        0.6187
MDMin:   43 14:04:00     -193.602321        0.5928
MDMin:   44 14:04:03     -193.636487        0.6160
MDMin:   45 14:04:06     -193.659098        0.5510
MDMin:   46 14:04:09     -193.675390        0.5383
MDMin:   47 14:04:13     -193.692046        0.5245
MDMin:   48 14:04:16     -193.710649        0.5081
MDMin:   49 14:04:19     -193.731012        0.4892
2025-07-12 14:04:19,318 INFO Task completed: {{pynta.tasks.MolecularOptimizationTask}}
2025-07-12 14:04:19,324 INFO Task started: FileTransferTask.
2025-07-12 14:04:19,344 INFO Task completed: FileTransferTask
2025-07-12 14:04:19,374 INFO Rocket finished
