Python path: /home/lekia.p/miniforge3/envs/pynta_fairchem38/bin/python
Conda environment: pynta_fairchem38
ASE version: 3.23.0
2025-07-09 10:57:30,596 INFO Hostname/IP lookup (this will take a few seconds)
2025-07-09 10:57:30,597 INFO Launching Rocket
2025-07-09 10:57:33,178 INFO RUNNING fw_id: 10 in directory: /work/westgroup/lekia.p/pynta/Fe/block_2025-07-09-11-18-07-205805/launcher_2025-07-09-14-57-20-125557
2025-07-09 10:57:33,225 INFO Task started: {{pynta.tasks.MolecularAdsorbateEstimate}}.
initial geometries
4
------------------------------------------------------------
  cycle        total energy    energy error   density error
------------------------------------------------------------
      1     -79.53352114859  -7.9605949E+01   1.2486174E+00
      2      767.1104145205   8.4664394E+02   2.9516688E+00
      3      857.1495610120   9.0039146E+01   2.9598335E+00
      4      413.1241989148  -4.4402536E+02   2.8948822E+00
      5      412.4190100067  -7.0518891E-01   2.5693659E+00
      6      516.3966365106   1.0397763E+02   2.5095097E+00
      7      193.2242551694  -3.2317238E+02   2.3434719E+00
      8      261.2225597314   6.7998305E+01   2.4964345E+00
      9      202.0976957107  -5.9124864E+01   2.3771826E+00
     10      170.9015160390  -3.1196180E+01   2.4066071E+00
     11      181.3252514552   1.0423735E+01   2.3073392E+00
     12      248.1033788845   6.6778127E+01   2.4400263E+00
     13      300.7937808428   5.2690402E+01   2.4290655E+00
     14      317.5943623914   1.6800582E+01   2.4460909E+00
     15      328.2206285374   1.0626266E+01   2.3116240E+00
     16      410.8827643683   8.2662136E+01   2.3971174E+00
     17      282.8531187914  -1.2802965E+02   2.2373535E+00
     18      283.0761105503   2.2299176E-01   2.2301834E+00
     19      273.9186691274  -9.1574414E+00   2.2572394E+00
     20      229.0826847342  -4.4835984E+01   2.1856184E+00
     21      230.6621853370   1.5795006E+00   2.2139393E+00
     22      247.4047396798   1.6742554E+01   2.2477470E+00
     23      271.0279800855   2.3623240E+01   2.2511760E+00
     24      289.6704787283   1.8642499E+01   2.2935225E+00
     25      293.2031460807   3.5326674E+00   2.2957405E+00
     26      305.9682877220   1.2765142E+01   2.3417745E+00
     27      305.7231745897  -2.4511313E-01   2.3396866E+00
     28      300.3999241415  -5.3232504E+00   2.3209501E+00
     29      301.8689149496   1.4689908E+00   2.3323003E+00
     30      301.1276596114  -7.4125534E-01   2.3282050E+00
     31      297.3465439456  -3.7811157E+00   2.3071548E+00
     32      307.7416552723   1.0395111E+01   2.3598662E+00
     33      303.4309551343  -4.3107001E+00   2.3421086E+00
     34      298.9793720406  -4.4515831E+00   2.3025679E+00
     35      286.3866552627  -1.2592717E+01   2.1995269E+00
     36      283.7607636665  -2.6258916E+00   2.1809923E+00
     37      302.1352079282   1.8374444E+01   2.2908453E+00
     38      304.0599725134   1.9247646E+00   2.3017678E+00
     39      316.8071638961   1.2747191E+01   2.3075906E+00
     40      328.4890177464   1.1681854E+01   2.3467179E+00
     41      317.6719083921  -1.0817109E+01   2.3177846E+00
     42      241.0494595023  -7.6622449E+01   2.0728301E+00
     43      201.5027275478  -3.9546732E+01   1.9854436E+00
     44      120.7169008702  -8.0785827E+01   1.7094203E+00
     45      51.03456464919  -6.9682336E+01   1.4858519E+00
     46      84.07452250182   3.3039958E+01   1.6648501E+00
     47      1.530329542091  -8.2544193E+01   1.3891751E+00
     48     -4.411320107011  -5.9416496E+00   1.3118679E+00
     49      95.29527181479   9.9706592E+01   1.6746435E+00
     50      89.66070541426  -5.6345664E+00   1.6490885E+00
     51      40.37745231192  -4.9283253E+01   1.5184356E+00
     52      80.13295084123   3.9755499E+01   1.6676558E+00
     53      97.10387522493   1.6970924E+01   1.7790463E+00
     54      112.3651718559   1.5261297E+01   1.7695516E+00
     55      52.41759299504  -5.9947579E+01   1.5120032E+00
     56      15.83260322049  -3.6584990E+01   1.6642313E+00
     57      103.6273956952   8.7794792E+01   1.9361338E+00
     58      133.5044149576   2.9877019E+01   2.0451638E+00
     59      230.3288468898   9.6824432E+01   2.2722026E+00
     60      266.9863370885   3.6657490E+01   2.3490976E+00
     61      73.52610678448  -1.9346023E+02   1.8639841E+00
     62      17.91694971354  -5.5609157E+01   1.5841038E+00
     63      140.1021523504   1.2218520E+02   1.9484251E+00
     64      108.5295283804  -3.1572624E+01   1.9041054E+00
     65      100.7859421108  -7.7435863E+00   1.8875541E+00
     66     -9.010481820658  -1.0979642E+02   1.4080087E+00
     67     -23.28121881403  -1.4270737E+01   1.3256646E+00
     68     -3.905781170363   1.9375438E+01   1.4522507E+00
     69      59.95721030415   6.3862991E+01   1.7286264E+00
     70      31.32213256254  -2.8635078E+01   1.6403648E+00
     71      32.71377359208   1.3916410E+00   1.6509358E+00
     72      44.74935565053   1.2035582E+01   1.7235824E+00
     73      53.43878383031   8.6894282E+00   1.7658111E+00
     74      53.36161776534  -7.7166065E-02   1.7660739E+00
     75      48.83869969552  -4.5229181E+00   1.7584279E+00
     76      42.33812136570  -6.5005783E+00   1.7494001E+00
     77      44.75248735826   2.4143660E+00   1.7557348E+00
     78      44.99529296351   2.4280561E-01   1.7615855E+00
     79      44.73952863598  -2.5576433E-01   1.7600264E+00
     80      47.51561999130   2.7760914E+00   1.6473353E+00
     81      23.53460717355  -2.3981013E+01   1.5050402E+00
     82      25.35691185745   1.8223047E+00   1.5430837E+00
     83      18.97419830547  -6.3827136E+00   1.5082323E+00
     84      1.738660618242  -1.7235538E+01   1.4447553E+00
     85      1.203014866219  -5.3564575E-01   1.4376186E+00
     86     -11.14672752775  -1.2349742E+01   1.2649816E+00
     87     -19.30000265302  -8.1532751E+00   1.2128818E+00
     88     -37.95619493783  -1.8656192E+01   1.1415264E+00
     89     -11.08251283485   2.6873682E+01   1.3006010E+00
     90     -53.87992092838  -4.2797408E+01   9.3332230E-01
     91     -57.03857880676  -3.1586579E+00   8.9436799E-01
     92     -52.86897645902   4.1696023E+00   9.2721264E-01
     93     -34.87364233405   1.7995334E+01   1.0393715E+00
     94     -23.48654259140   1.1387100E+01   1.1170017E+00
     95     -15.48227662450   8.0042660E+00   1.1367822E+00
     96     -25.56384036430  -1.0081564E+01   1.0743716E+00
     97     -59.72134634681  -3.4157506E+01   8.2570679E-01
     98     -69.77624954775  -1.0054903E+01   6.8481671E-01
     99     -75.31941524625  -5.5431657E+00   5.8272551E-01
    100     -54.57779323086   2.0741622E+01   8.0332577E-01
    101     -76.25709441962  -2.1679301E+01   5.4431434E-01
    102     -73.96543700503   2.2916574E+00   5.5172186E-01
    103     -76.87806596227  -2.9126290E+00   5.0933908E-01
    104     -78.90489364919  -2.0268277E+00   4.4679461E-01
    105     -79.91494848006  -1.0100548E+00   4.2684184E-01
    106     -74.98860098198   4.9263475E+00   5.3771659E-01
    107     -82.38760579708  -7.3990048E+00   3.2786267E-01
    108     -81.39748805675   9.9011774E-01   3.3830529E-01
    109     -76.55468972686   4.8427983E+00   3.7513611E-01
    110     -84.04415497412  -7.4894652E+00   1.9460851E-01
    111     -84.21835493537  -1.7419996E-01   1.9360639E-01
    112     -83.47669356001   7.4166138E-01   1.9395435E-01
    113     -85.02764648086  -1.5509529E+00   1.3619223E-01
    114     -85.71174091422  -6.8409443E-01   7.4805624E-02
    115     -85.62493110010   8.6809814E-02   8.3217101E-02
    116     -85.96313280998  -3.3820171E-01   3.7969407E-02
    117     -85.97806378730  -1.4930977E-02   3.4808176E-02
    118     -85.99642941277  -1.8365625E-02   2.6483673E-02
    119     -86.00422815084  -7.7987381E-03   1.9909607E-02
    120     -86.01142516498  -7.1970141E-03   1.5535749E-02
    121     -86.01768841613  -6.2632512E-03   7.6612380E-03
    122     -86.01914918365  -1.4607675E-03   3.6184024E-03
    123     -86.01870916164   4.4002201E-04   4.5395056E-03
    124     -86.01935216817  -6.4300654E-04   2.8331908E-03
    125     -86.01922071591   1.3145226E-04   2.7618533E-03
    126     -86.01936947847  -1.4876255E-04   2.1009011E-03
    127     -86.01955480986  -1.8533140E-04   1.1944407E-03
    128     -86.01951187827   4.2931589E-05   1.2986388E-03
    129     -86.01959186121  -7.9982934E-05   6.1742517E-04
    130     -86.01960032267  -8.4614600E-06   4.3089190E-04
    131     -86.01960371828  -3.3956101E-06   2.8348395E-04
    132     -86.01960260188   1.1163990E-06   2.4778004E-04
    133     -86.01960633210  -3.7302204E-06   7.5220051E-05
    134     -86.01960630147   3.0627533E-08   7.0242253E-05
    135     -86.01960644072  -1.3925207E-07   5.3312670E-05
    136     -86.01960628635   1.5437492E-07   6.2072379E-05
    137     -86.01960648910  -2.0275414E-07   3.4236878E-05
    138     -86.01960650481  -1.5704089E-08   2.5163107E-05
