Python path: /home/lekia.p/miniforge3/envs/pynta_fairchem38/bin/python
Conda environment: pynta_fairchem38
ASE version: 3.23.0
2025-07-09 10:57:41,221 INFO Hostname/IP lookup (this will take a few seconds)
2025-07-09 10:57:41,222 INFO Launching Rocket
2025-07-09 10:57:43,772 INFO RUNNING fw_id: 12 in directory: /work/westgroup/lekia.p/pynta/Fe/block_2025-07-09-11-18-07-205805/launcher_2025-07-09-14-57-30-484582
2025-07-09 10:57:43,809 INFO Task started: {{pynta.tasks.MolecularAdsorbateEstimate}}.
initial geometries
4
------------------------------------------------------------
  cycle        total energy    energy error   density error
------------------------------------------------------------
      1     -76.67119473472  -7.6743320E+01   1.2360493E+00
      2      756.6430259848   8.3331422E+02   2.9351770E+00
      3      818.9237615293   6.2280736E+01   2.9135141E+00
      4      409.7387235817  -4.0918504E+02   2.8877283E+00
      5      607.4201276478   1.9768140E+02   2.6142246E+00
      6      558.5856577437  -4.8834470E+01   2.5743651E+00
      7      123.4321809144  -4.3515348E+02   2.0761486E+00
      8      137.7690907619   1.4336910E+01   2.0287707E+00
      9      190.5795869327   5.2810496E+01   2.1874056E+00
     10      237.6314090374   4.7051822E+01   2.2664169E+00
     11      383.7670062728   1.4613560E+02   2.5278400E+00
     12      433.1047778549   4.9337772E+01   2.6016274E+00
     13      174.0287771829  -2.5907600E+02   2.2685390E+00
     14      165.3321434840  -8.6966337E+00   2.3510249E+00
     15      169.0607220998   3.7285786E+00   2.1813654E+00
     16      395.3226421170   2.2626192E+02   2.4330507E+00
     17      408.8154900449   1.3492848E+01   2.4613186E+00
     18      407.4424638418  -1.3730262E+00   2.4237303E+00
     19      383.9031161086  -2.3539348E+01   2.3499064E+00
     20      323.6293184229  -6.0273798E+01   2.2403679E+00
     21      286.9304278438  -3.6698891E+01   2.1867154E+00
     22      264.2860753777  -2.2644352E+01   2.1190042E+00
     23      240.0276940495  -2.4258381E+01   2.0053102E+00
     24      209.0701757677  -3.0957518E+01   1.9327545E+00
     25      195.4600551600  -1.3610121E+01   1.9966452E+00
     26      125.5069327715  -6.9953122E+01   1.7023634E+00
     27      102.4865479364  -2.3020385E+01   1.6566532E+00
     28      75.00179602588  -2.7484752E+01   1.5890211E+00
     29      70.21457026888  -4.7872258E+00   1.5889328E+00
     30      62.73988194163  -7.4746883E+00   1.5536099E+00
     31      62.49702546987  -2.4285647E-01   1.5514415E+00
     32      62.46180086977  -3.5224600E-02   1.5512938E+00
     33      62.90845519716   4.4665433E-01   1.5590808E+00
     34      62.81468630563  -9.3768892E-02   1.5606217E+00
     35      74.80706637479   1.1992380E+01   1.5484656E+00
     36      78.15692036953   3.3498540E+00   1.5302169E+00
     37      114.4555838142   3.6298663E+01   1.6424251E+00
     38      195.0960586120   8.0640475E+01   1.8603750E+00
     39      275.8786665799   8.0782608E+01   2.1159048E+00
     40      273.3013779496  -2.5772886E+00   2.0971023E+00
     41      266.0683023312  -7.2330756E+00   2.0749083E+00
     42      256.8332180597  -9.2350843E+00   2.0468217E+00
     43      143.7476044911  -1.1308561E+02   1.7107795E+00
     44      136.4769384177  -7.2706661E+00   1.6919950E+00
     45      133.7520825768  -2.7248558E+00   1.6852873E+00
     46      132.2361919555  -1.5158906E+00   1.6833226E+00
     47      137.7511389762   5.5149470E+00   1.6931693E+00
     48      127.5851295810  -1.0166009E+01   1.6491621E+00
     49      87.47706076293  -4.0108069E+01   1.5388008E+00
     50      76.27177263288  -1.1205288E+01   1.5510571E+00
     51      67.73675936747  -8.5350133E+00   1.5012191E+00
     52     0.2193138810423  -6.7517445E+01   1.3108693E+00
     53     -13.41168223290  -1.3630996E+01   1.2029825E+00
     54      31.45213688680   4.4863819E+01   1.2874180E+00
     55     -23.16271326810  -5.4614850E+01   1.2846981E+00
     56     -25.35965858071  -2.1969453E+00   1.2414178E+00
     57     -19.68705486990   5.6726037E+00   1.2834734E+00
     58     -8.622491238201   1.1064564E+01   1.3550744E+00
